difficulty,question,answer
simple,"第十一回中，向陶谦献计求救于孔融和青州田楷的是谁？","糜竺。"
simple,"糜竺去北海求救时，谁去青州求救？","陈登（字元龙）。"
simple,"北海太守孔融是谁的后代？","孔子的二十世孙。"
simple,"孔融被黄巾管亥围困时，谁单骑前来相助？","太史慈（字子义）。"
simple,"太史慈是哪里人？","东莱黄县人。"
simple,"太史慈为何前来救助素未谋面的孔融？","其母感念孔融平日恩惠，令其前来报恩。"
simple,"刘备带了哪些将领和多少兵力去救孔融？","关羽、张飞、三千精兵，后又借得赵云及两千兵。"
simple,"是谁在阵前斩杀了黄巾将领管亥？","关羽（云长）。"
simple,"孔融之后，刘备又受谁的请求去救援徐州？","陶谦（通过糜竺）。"
simple,"刘备去救援徐州时，向谁借了兵马和赵云？","公孙瓒。"
simple,"曹操围徐州时，前来助阵的孔融和田楷态度如何？","惧怕曹兵势猛，远远下寨，未敢轻进。"
simple,"刘备初到徐州城外，与曹操哪位将领交战并击败了他？","于禁。"
simple,"陶谦想把徐州让给刘备，刘备最初的态度是什么？","坚决不受，认为这是不义之举。"
simple,"曹操收到刘备劝和的书信后，谁建议他先礼后兵？","郭嘉。"
simple,"什么紧急军情导致曹操最终从徐州撤兵？","吕布袭破兖州，进据濮阳。"
simple,"吕布袭取兖州时，曹操手下哪两位谋士保全了鄄城、东阿、范县三处？","荀彧、程昱。"
simple,"陈宫建议吕布在泰山设伏，吕布采纳了吗？","没有采纳。"
simple,"曹操初次与吕布在濮阳交战，排头对阵的是哪八员健将？","张辽、臧霸及郝萌、曹性、成廉、魏续、宋宪、侯成。"
simple,"曹操夜袭吕布西寨时，是谁率兵前来支援并与曹操混战？","高顺。"
simple,"在濮阳之战中，谁手持双铁戟救了曹操？","典韦。"
simple,"第十二回中，是谁献计让富户田氏诈降曹操，诱其入濮阳城？","陈宫。"
simple,"曹操中计进入濮阳空城时，是哪四将伏击他？","张辽、臧霸、郝萌、曹性、高顺、侯成等。"
simple,"曹操在濮阳被烧伤逃脱时，是谁用戟拨开火焰，救他冲出？","典韦。"
simple,"曹操用“将计就计”，诈死诱吕布出兵是在哪里设伏？","马陵山。"
simple,"陶谦临终前，推荐谁辅佐刘备？","孙乾（字公祐）。"
simple,"陶谦死后，刘备最终同意接管徐州了吗？","在百姓、关张劝说下，同意权领徐州事。"
simple,"曹操欲报父仇再攻徐州时，谁劝他先稳固兖州，后图徐州？","荀彧。"
simple,"荀彧建议曹操先攻打哪里获取粮草？","陈地以及汝南、颍川的黄巾余党。"
simple,"曹操手下谁斩杀了黄巾“截天夜叉”何曼？","曹洪。"
simple,"曹操在哪里收降了勇将许褚？","葛陂坞附近。"
simple,"许褚是哪里人？字什么？","谯国谯县人，字仲康。"
simple,"曹操复得兖州后，在濮阳与吕布交战，派哪六将围攻吕布？","典韦、许褚、夏侯惇、夏侯渊、李典、乐进。"
simple,"吕布败走定陶后，守城的张超结局如何？","自刎而死。"
simple,"第十三回中，吕布被曹操击败后，首先想投靠谁？","袁绍（但因颜良助曹而放弃）。"
